KOD;AÇIKLAMA
SWB12;Hat Temizleme Aktüatör Vanası Switch Box
SWB13;By-Pass Hattı Aktüatör Vanası Switch Box
SWB14;Ana Yıkama Nozul Aktüatör Vanası Switch Box
SWB15;Emiş Kollektör Temizleme Aktüatör Vanası Switch Box
SWB16;1. Proses Geri Dönüş Aktüatör Vanası Switch Box
SWB17;2. Proses Geri Dönüş Aktüatör Vanası Switch Box
SWB18;3. Proses Geri Dönüş Aktüatör Vanası Switch Box
SWB19;4. Proses Geri Dönüş Aktüatör Vanası Switch Box
SWB20;1. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box
SWB21;2. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box
SWB22;3. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box
SWB23;4. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box
SWB24;1. Proses Tankı Kaskat Aktüatör Vanası Switch Box
SWB25;2. Proses Tankı Kaskat Aktüatör Vanası Switch Box
SWB26;3. Proses Tankı Kaskat Aktüatör Vanası Switch Box
SWB27;1. Tank Drenaj Aktuatör Vanası Switch Box
SWB28;2. Tank Drenaj Aktuatör Vanası Switch Box
SWB29;3. Tank Drenaj Aktuatör Vanası Switch Box
SWB30;Arıtma Dönüş Aktuatör Vanası Switch Box
SWB31;1. Eşanjör Gidiş Aktuatör Vanası Switch Box
SWB32;1. Tank İçi Yıkama Aktuatör Vanası Switch Box
SWB33;2. Tank İçi Yıkama Aktuatör Vanası Switch Box
SWB34;3. Tank İçi Yıkama Aktuatör Vanası Switch Box
SWB35;Şebeke Suyu ile Durulama  Aktuatör Vanası Switch Box
SWB36;Sepet Alma Kontrol Switch Box 1
SWB37;Sepet Alma Kontrol Switch Box 2
SWB38;1. Proses Tankından Pompaya Emiş Aktüatör Vanası Switchbox
SWB39;2. Proses Tankından Pompaya Emiş Aktüatör Vanası Switchbox
SWB40;1. Hücreden Pompaya Emiş Aktüatör Vanası Switchbox
SWB41;2. Hücreden Pompaya Emiş Aktüatör Vanası Switchbox
SWB42;1. Proses Hattı Aktüatör Vanası Switchbox
SWB43;2. Proses Hattı Aktüatör Vanası Switchbox
SWB44;Hat Temizleme Aktüatör Vanası Switchbox
SWB45;Egzos Hattı Aktüatör Vanası Switchbox
SW01;Hücre Kapak Açık Konumda Switchi
SW02;Hücre Kapak Kapalı Konumda Switchi
SW03;1. Proses Tank Kapağı Açık Konumda Switchi
SW04;1. Proses Tank Kapağı Kapalı Konumda Switchi
SW05;2. Proses Tank Kapağı Açık Konumda Switchi
SW06;2. Proses Tank Kapağı Kapalı Konumda Switchi
SW07;3. Proses Tank Kapağı Açık Konumda Switchi
SW08;3. Proses Tank Kapağı Kapalı Konumda Switchi
SW09;4. Proses Tank Kapağı Açık Konumda Switchi
SW10;4. Proses Tank Kapağı Kapalı Konumda Switchi
SW11;Sepet 1. Pozisyon Switchi
SW12;Sepet 2. Pozisyon Switchi
SW13;1. Flow  Switchi
SW14;2. Flow  Switchi
SW15;3. Flow  Switchi
SW16;4. Flow  Switchi
SW17;xxx Switchi
SW18;Hücre Kapağı Kontrol Switchi
SW19;xxx Switchi
SW20;xxx Switchi
PPS01;Ana Hücre Kapak Pistonu Açık Sensörü
PPS02;Ana Hücre Kapak Pistonu Kapalı Sensörü
PPS03;1. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü
PPS04;1. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü
PPS05;1. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü
PPS06;1. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü
PPS07;2. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü
PPS08;2. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü
PPS09;2. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü
PPS10;2. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü
PPS11;Hücre Tahliye Pistonu Açık Sensörü
PPS12;Hücre Tahliye Pistonu Kapalı Sensörü
PPS13;1. Proses Tankı Lift Pistonu Açık Sensörü
PPS14;1. Proses Tankı Lift Pistonu Ara Sensörü
PPS15;1. Proses Tankı Lift Pistonu Kapalı Sensörü
PPS16;2. Proses Tankı Lift Pistonu Açık Sensörü
PPS17;2. Proses Tankı Lift Pistonu Ara Sensörü
PPS18;2. Proses Tankı Lift Pistonu Kapalı Sensörü
PPS19;3. Proses Tankı Lift Pistonu Açık Sensörü
PPS20;3. Proses Tankı Lift Pistonu Ara Sensörü
PPS21;3. Proses Tankı Lift Pistonu Kapalı Sensörü
PPS22;4. Proses Tankı Lift Pistonu Açık Sensörü
PPS23;4. Proses Tankı Lift Pistonu Ara Sensörü
PPS24;4. Proses Tankı Lift Pistonu Kapalı Sensörü
PPS25;3. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü
PPS26;3. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü
PPS27;3. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü
PPS28;3. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü
PPS29;xxx Pistonu Açık Sensörü
PPS30;xxx Pistonu Kapalı Sensörü
F01;Ana Sigorta  
F02;1. Bölge Sigorta 
F03;2. Bölge Sigorta 
F04;3. Bölge Sigorta 
F05;4. Bölge Sigorta 
F06;5. Bölge Sigorta 
FC01;Ana Kaçak Akım Sigorta  
FC02;1. Bölge  Kaçak Akım Sigorta   
FC03;2. Bölge  Kaçak Akım Sigorta   
FC04;3. Bölge  Kaçak Akım Sigorta   
FC05;4. Bölge  Kaçak Akım Sigorta   
FC06;5. Bölge  Kaçak Akım Sigorta   
FC07;Besleme Hattı Sigorta  
FC08;xxx Hattı sigorta
FC09;xxx Hattı sigorta
FC10;xxx Hattı sigorta
B01;Makine Start Düğmesi
B02;Makine Stop Düğmesi
B03;Kapı Aç
B04;Kapı  Kapa (çift el butonu)
B05;Acil Stop Butonu
B06;Reset
B07;xxx  Butonu
B08;xxx  Butonu
B09;xxx  Butonu
B10;xxx  Butonu
ENC01;Sepet / Tambur Encoderi
ENC02;xxx Encoderi
PS05;Su Bilgisi
PS06;Hava Bilgisi
INV01;Sepet Redüktörü İnvertörü
INV02;Tambur Redüktör İnvertörü
INV03;1. Konveyör Redüktör İnvertörü
INV04;1.Taşıma Konveyörü
TC01;1. Proses Tankı Isı Ölçer
TC02;2. Proses Tankı Isı Ölçer
TC03;3. Proses Tankı Isı Ölçer
TC04;4. Proses Tankı Isı Ölçer
TC05;1. Kurutma Isı Ölçer
TC06;2. Kurutma Isı Ölçer
TC07;Hücre İçi Isı Ölçer
TC08;xxx Isı Ölçer
TC09;xxx Isı Ölçer
TC10;xxx Isı Ölçer
PS01;1. Proses Pompası Basınç Sensörü ( 4-20 mA)
PS02;2. Proses Pompası Basınç Sensörü ( 4-20 mA)
PS03;3. Proses Pompası Basınç Sensörü ( 4-20 mA)
PS04;4. Proses Pompası Basınç Sensörü ( 4-20 mA)
PS05;Hücre İçi Vakum Sensörü  ( 4-20 mA)
PS06;Giriş Su Basınç Sensörü ( 4-20 mA)
PS07;Giriş Hava Basınç Sensörü ( 4-20 mA)
PS08;1. Basınç Şalteri
PS09;2. Basınç Şalteri
PS10;xxxx Sensörü 
PHS01;1. Proses Tankı pH Sensörü
PHS02;2. Proses Tankı pH Sensörü
PHS03;3. Proses Tankı pH Sensörü
PHS04;4. Proses Tankı pH Sensörü
PHS05;Yıkama Hattı pH Sensörü
CS01;1. Proses Tankı İletkenlik Sensörü
CS02;2. Proses Tankı İletkenlik Sensörü
CS03;3. Proses Tankı İletkenlik Sensörü
CS04;4. Proses Tankı İletkenlik Sensörü
CS05;xxxx İletkenlik Sensörü
V01;1. Proses Pompa Emiş Aktüatör Vanası valfi
V02;2. Proses Pompa Emiş Aktüatör Vanası valfi
V03;3. Proses Pompa Emiş Aktüatör Vanası valfi
V04;4. Proses Pompa Emiş Aktüatör Vanası valfi
V05;Conta Şişirme Aktüator Vanası valfi
V06;Conta Söndürme Aktüator Vanası valfi
V07;1. Kurutma Hattı Aktüator Vanası valfi
V08;2. Kurutma Hattı Aktüator Vanası valfi
V09;Hücre Drenaj Aktüatör Vanası valfi
V10;Hücre Emiş Aktüatör Vanası valfi
V11;Proses Ana Geri Dönüş Aktüatör Vanası valfi
V12;Hat Temizleme Aktüatör Vanası valfi
V13;By-Pass Hattı Aktüatör Vanası valfi
V14;Ana Yıkama Nozzle Aktüatör Vanası valfi
V15;Emiş Kollektör Temizleme Aktüatör Vanası valfi
V16;1. Proses Geri Dönüş Aktüatör Vanası valfi
V17;2. Proses Geri Dönüş Aktüatör Vanası valfi
V18;3. Proses Geri Dönüş Aktüatör Vanası valfi
V19;4. Proses Geri Dönüş Aktüatör Vanası valfi
V20;1. Proses Tankı Oto. Dolum Aktüatör Vanası valfi
V21;2. Proses Tankı Oto. Dolum Aktüatör Vanası valfi
V22;3. Proses Tankı Oto. Dolum Aktüatör Vanası valfi
V23;4. Proses Tankı Oto. Dolum Aktüatör Vanası valfi
V24;1. Proses Tankı Kaskat Aktüatör Vanası valfi
V25;2. Proses Tankı Kaskat Aktüatör Vanası valfi
V26;3. Proses Tankı Kaskat Aktüatör Vanası valfi
V27;1. Tank Drenaj Aktuatör Vanası valfi
V28;2. Tank Drenaj Aktuatör Vanası valfi
V29;3. Tank Drenaj Aktuatör Vanası valfi
V30;Arıtma Dönüş Aktuatör Vanası valfi
V31;1. Proses Tankı Tahliye Vanası Aç Valfi
V32;1. Proses Tankı Tahliye Vanası Kapat Valfi
V33;2. Proses Tankı Tahliye Vanası Aç Valfi
V34;2. Proses Tankı Tahliye Vanası Kapat Valfi
V35;3. Proses Tankı Tahliye Vanası Aç Valfi
V36;3. Proses Tankı Tahliye Vanası Kapat Valfi
V37;4. Proses Tankı Tahliye Vanası Aç Valfi
V38;4. Proses Tankı Tahliye Vanası Kapat Valfi
V39;Hücre Boşaltma Pistonu Vanası Aç Valf'i
V40;Hücre Boşaltma Pistonu Vanası Kapat Valf'i
V41;Sepet Alma Kontrol Valfi 1
V42;Sepet Alma Kontol Valfi 2
V43;1. Process Tankı Kapak Pistonu Valfi
V44;2. Process Tankı Kapak Pistonu Valfi
V45;1. Process Tankı Kapak Pistonu Valfi
V46;2. Process Tankı Kapak Pistonu Valfi
V47;Ana Valf
V48;Kapak Aç Valf'i
V49;Kapak Kapat Valf'i
V50;1. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi
V51;2. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi
V52;3. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi
V53;4. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi
V54;1. Hücreden Pompaya Emiş Aktüatör Vanası Valfi
V55;2. Hücreden Pompaya Emiş Aktüatör Vanası Valfi
V56;3. Hücreden Pompaya Emiş Aktüatör Vanası Valfi
V57;4. Hücreden Pompaya Emiş Aktüatör Vanası Valfi
V58;Egzos Hattı Aktüatör Vanası Valfi
V59;1. Proses Hattı Aktüatör Vanası Valfi
V60;2. Proses Hattı Aktüatör Vanası Valfi
