KOD;TETİK SENSÖRÜ;KİLİTLENEN EKİPMAN;GÜVENLİK MANTIĞI
SS08;4. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SS09;5. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SS10;6. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SS11;7. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SW01;Hücre Kapak Açık Konumda Switchi;Makine Çevrimi, Proses Pompaları;"Erişim güvenliği: Hücre kapağı açık konumdayken makinenin çalışması engellenir. PLC, tahrik ve proses ekipmanlarına start enable vermez."
SW02;Hücre Kapak Kapalı Konumda Switchi;Makine Çevrimi, Proses Pompaları;"Kapak doğrulama: Kapağın tam kapalı olduğu doğrulanmadan makine çevrimi ve proses ekipmanlarına yol verilmez. SW01 ile birlikte kapak güvenlik zincirini tamamlar."
SW18;Hücre Kapağı Kontrol Switchi;Makine Çevrimi (GE01), Proses Pompaları (PE);"Personel güvenliği: Hücre kapağının güvenli şekilde kapalı olduğu doğrulanmadan makine çalışması engellenir. Kapak açıkken pompa ve tahrik devreye alınmaz."
PS07;Giriş Hava Basınç Sensörü (4-20 mA);Pnömatik Vanalar ve Aktüatörler (V, SWB);"Hava basıncı koruması: Giriş hava basıncı ayarlanan eşiğin altına düştüğünde pnömatik bileşenlere enable verilmez. Düşük hava basıncından kaynaklı hatalı vanalama ve kaza riski engellenir."
TC01;1. Proses Tankı Isı Ölçer;Isıtıcılar (R01-R05), Proses Pompaları;"Sıcaklık koruması: Ölçülen sıcaklık HMI/PLC'de ayarlanan üst limite ulaştığında ısıtma durdurulur. Aşırı ısınma ve termal risk engellenir."
TC02;2. Proses Tankı Isı Ölçer;Isıtıcılar (R06-R10), Proses Pompaları;"Sıcaklık koruması: Ölçülen sıcaklık HMI/PLC'de ayarlanan üst limite ulaştığında ısıtma durdurulur. Aşırı ısınma ve termal risk engellenir."
TC03;3. Proses Tankı Isı Ölçer;Isıtıcılar (R11-R15), Proses Pompaları;"Sıcaklık koruması: Ölçülen sıcaklık HMI/PLC'de ayarlanan üst limite ulaştığında ısıtma durdurulur. Aşırı ısınma ve termal risk engellenir."
TC04;4. Proses Tankı Isı Ölçer;Isıtıcılar (R16-R20), Proses Pompaları;"Sıcaklık koruması: Ölçülen sıcaklık HMI/PLC'de ayarlanan üst limite ulaştığında ısıtma durdurulur. Aşırı ısınma ve termal risk engellenir."
TC05;1. Kurutma Isı Ölçer;Kurutma Rezistansları (R21-R26), Kurutma Fanları (FE);"Sıcaklık koruması: Kurutma hattı sıcaklığı limit değere ulaştığında ısıtma durdurulur. Aşırı ısınma riski engellenir."
TC06;2. Kurutma Isı Ölçer;Kurutma Rezistansları (R21-R26), Kurutma Fanları (FE);"Sıcaklık koruması: Kurutma hattı sıcaklığı limit değere ulaştığında ısıtma durdurulur. Aşırı ısınma riski engellenir."
TC07;Hücre İçi Isı Ölçer;Proses Ekipmanları, Isıtma Devresi;"Sıcaklık izleme: Hücre içi ortam sıcaklığı izlenir; limit aşımında PLC ısıtma ve ilgili proses adımlarını durdurur."
TC08;xxx Isı Ölçer;Isıtma Devresi, Proses Ekipmanları;"Sıcaklık koruması: Ölçülen sıcaklık ayarlanan limite ulaştığında ısıtma durdurulur. Aşırı ısınma riski engellenir."
TC09;xxx Isı Ölçer;Isıtma Devresi, Proses Ekipmanları;"Sıcaklık koruması: Ölçülen sıcaklık ayarlanan limite ulaştığında ısıtma durdurulur. Aşırı ısınma riski engellenir."
TC10;xxx Isı Ölçer;Isıtma Devresi, Proses Ekipmanları;"Sıcaklık koruması: Ölçülen sıcaklık ayarlanan limite ulaştığında ısıtma durdurulur. Aşırı ısınma riski engellenir."
PS08;1. Basınç Şalteri;Pnömatik Vanalar ve Aktüatörler (V, SWB);"Yüksek güvenlik hava kontrolü: Giriş hava hattında seri bağlı basınç şalteri; hava basıncı yetersizse pnömatik devrelere enable verilmez. PS07 ile birlikte çift kanallı hava güvenliği sağlar."
PS09;2. Basınç Şalteri;Pnömatik Vanalar ve Aktüatörler (V, SWB);"Yüksek güvenlik hava kontrolü: Giriş hava hattında seri bağlı basınç şalteri; hava basıncı yetersizse pnömatik devrelere enable verilmez. PS08 ile birlikte çift kanallı hava güvenliği sağlar."
