KOD;COMPONENT NAME;DESCRIPTION
FE03;2. Drying Fan Motor;Regulates air flow for 2. Drying Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE04;1. Blower Motor;Regulates air flow for 1. Blower Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE05;2. Blower Motor;Regulates air flow for 2. Blower Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE06;3. Blower Motor;Regulates air flow for 3. Blower Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE07;4. Blower Motor;Regulates air flow for 4. Blower Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE08;xxx Fan Motor;Regulates air flow for xxx Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE09;xxx Fan Motor;Regulates air flow for xxx Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE10;xxx Fan Motor;Regulates air flow for xxx Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
VE01;1. Vibration Motor;Applies vibration for part separation and process efficiency (1. Vibration Motor). Connected to vibration unit, mechanical assembly and motor control circuit.
VE02;2. Vibration Motor;Applies vibration for part separation and process efficiency (2. Vibration Motor). Connected to vibration unit, mechanical assembly and motor control circuit.
VE03;Vibration xxx Motor;Applies vibration for part separation and process efficiency (Vibration xxx Motor). Connected to vibration unit, mechanical assembly and motor control circuit.
VE04;Vibration xxx Motor;Applies vibration for part separation and process efficiency (Vibration xxx Motor). Connected to vibration unit, mechanical assembly and motor control circuit.
VE05;Vibration xxx Motor;Applies vibration for part separation and process efficiency (Vibration xxx Motor). Connected to vibration unit, mechanical assembly and motor control circuit.
GE01;Basket Gear Motor;Provides mechanical drive motion for Basket Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE02;Tambur Gear Motor;Provides mechanical drive motion for Tambur Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE03;Automatic Loading Motor;Provides mechanical drive motion for Automatic Loading Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE04;Kapı Gear Motor;Provides mechanical drive motion for Kapı Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE05;1. Conveyor Gear Motor;Provides mechanical drive motion for 1. Conveyor Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE06;1. Oil Scraper Gear Motor;Provides mechanical drive motion for 1. Oil Scraper Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE07;2. Oil Scraper Gear Motor;Provides mechanical drive motion for 2. Oil Scraper Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE08;1. Yükleme( Conveyor) Gear Motor;Provides mechanical drive motion for 1. Yükleme( Conveyor) Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE09;2. Yükleme (Conveyor) Gear Motor;Provides mechanical drive motion for 2. Yükleme (Conveyor) Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
GE10;xxx Gear Motor;Provides mechanical drive motion for xxx Gear Motor. Connected to driven assembly, position/limit feedback and motor control circuit.
R01;1. Process Tank 1. Heater;Provides heating for 1. Process Tank 1. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R02;1. Process Tank 2. Heater;Provides heating for 1. Process Tank 2. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R03;1. Process Tank 3. Heater;Provides heating for 1. Process Tank 3. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R04;1. Process Tank 4. Heater;Provides heating for 1. Process Tank 4. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R05;1. Process Tank 5. Heater;Provides heating for 1. Process Tank 5. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R06;2. Process Tank 1. Heater;Provides heating for 2. Process Tank 1. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R07;2. Process Tank 2. Heater;Provides heating for 2. Process Tank 2. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R08;2. Process Tank 3. Heater;Provides heating for 2. Process Tank 3. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R09;2. Process Tank 4. Heater;Provides heating for 2. Process Tank 4. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R10;2. Process Tank 5. Heater;Provides heating for 2. Process Tank 5. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R11;3. Process Tank 1. Heater;Provides heating for 3. Process Tank 1. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R12;3. Process Tank 2. Heater;Provides heating for 3. Process Tank 2. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R13;3. Process Tank 3. Heater;Provides heating for 3. Process Tank 3. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R14;3. Process Tank 4. Heater;Provides heating for 3. Process Tank 4. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R15;3. Process Tank 5. Heater;Provides heating for 3. Process Tank 5. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R16;4. Process Tank 1. Heater;Provides heating for 4. Process Tank 1. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R17;4. Process Tank 2. Heater;Provides heating for 4. Process Tank 2. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R18;4. Process Tank 3. Heater;Provides heating for 4. Process Tank 3. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R19;4. Process Tank 4. Heater;Provides heating for 4. Process Tank 4. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R20;4. Process Tank 5. Heater;Provides heating for 4. Process Tank 5. Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R21;1. Drying Heater Group;Provides heating for 1. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R22;2. Drying Heater Group;Provides heating for 2. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R23;3. Drying Heater Group;Provides heating for 3. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R24;4. Drying Heater Group;Provides heating for 4. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R25;5. Drying Heater Group;Provides heating for 5. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R26;6. Drying Heater Group;Provides heating for 6. Drying Heater Group. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R27;xxx Heater;Provides heating for xxx Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R28;xxx Heater;Provides heating for xxx Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R29;xxx Heater;Provides heating for xxx Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
R30;xxx Heater;Provides heating for xxx Heater. Connected to temperature sensor, SSR/contactor and PLC heat control circuit.
TD01;1. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 1. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD02;2. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 2. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD03;3. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 3. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD04;4. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 4. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD05;5. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 5. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD06;6. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 6. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD07;7. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 7. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD08;8. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 8. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD09;9. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 9. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
TD10;10. Process Tank Ultrasonic Generator Set;Powers ultrasonic cleaning generator set for 10. Process Tank Ultrasonic Generator Set. Connected to transducer, process tank and PLC process control circuit.
L01;Stack Light - Warning Light;Provides visual indication or lighting for Stack Light - Warning Light. Connected to supply and PLC/control circuit.
L02;Cell Interior Light;Provides visual indication or lighting for Cell Interior Light. Connected to supply and PLC/control circuit.
L03;Panel Light;Provides visual indication or lighting for Panel Light. Connected to supply and PLC/control circuit.
L04;xxx Lamp;Provides visual indication or lighting for xxx Lamp. Connected to supply and PLC/control circuit.
L05;xxx Lamp;Provides visual indication or lighting for xxx Lamp. Connected to supply and PLC/control circuit.
LS01;1. Process Tank Low Level Sensor;Monitors liquid level for 1. Process Tank Low Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS02;1. Process Tank Mid Level Sensor;Monitors liquid level for 1. Process Tank Mid Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS03;1. Process Tank High Level Sensor;Monitors liquid level for 1. Process Tank High Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS04;2. Process Tank Low Level Sensor;Monitors liquid level for 2. Process Tank Low Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS05;2. Process Tank Mid Level Sensor;Monitors liquid level for 2. Process Tank Mid Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS06;2. Process Tank High Level Sensor;Monitors liquid level for 2. Process Tank High Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS07;3. Process Tank Low Level Sensor;Monitors liquid level for 3. Process Tank Low Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS08;3. Process Tank Mid Level Sensor;Monitors liquid level for 3. Process Tank Mid Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS09;3. Process Tank High Level Sensor;Monitors liquid level for 3. Process Tank High Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS10;4. Process Tank Low Level Sensor;Monitors liquid level for 4. Process Tank Low Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS11;4. Process Tank Mid Level Sensor;Monitors liquid level for 4. Process Tank Mid Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS12;4. Process Tank High Level Sensor;Monitors liquid level for 4. Process Tank High Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS13;Cell İçi 1. Level Sensor;Monitors liquid level for Cell İçi 1. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS14;Cell İçi 2. Level Sensor;Monitors liquid level for Cell İçi 2. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS15;Cell İçi 3. Level Sensor;Monitors liquid level for Cell İçi 3. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS16;Cell İçi 4. Level Sensor;Monitors liquid level for Cell İçi 4. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS17;Drain Hattı 1. Level Sensor;Monitors liquid level for Drain Hattı 1. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS18;Drain Hattı 2. Level Sensor;Monitors liquid level for Drain Hattı 2. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS19;Drain Hattı 3. Level Sensor;Monitors liquid level for Drain Hattı 3. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS20;Drain Hattı 4. Level Sensor;Monitors liquid level for Drain Hattı 4. Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS21;Vakum Pump Tank High Level Sensor;Monitors liquid level for Vakum Pump Tank High Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS22;Vakum Pump Tank Low Level Sensor;Monitors liquid level for Vakum Pump Tank Low Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS23;1. Dosing Pump Level Sensor;Monitors liquid level for 1. Dosing Pump Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS24;2. Dosing Pump Level Sensor;Monitors liquid level for 2. Dosing Pump Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS25;3. Dosing Pump Level Sensor;Monitors liquid level for 3. Dosing Pump Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS26;Sızıntı Tavası Uyarı Level Sensor;Monitors liquid level for Sızıntı Tavası Uyarı Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS27;xxx Level Sensor;Monitors liquid level for xxx Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS28;xxx Level Sensor;Monitors liquid level for xxx Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS29;xxx Level Sensor;Monitors liquid level for xxx Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
LS30;xxx Level Sensor;Monitors liquid level for xxx Level Sensor. Connected to tank/line, fill/drain valves, pump interlock and PLC digital input.
SS01;Hand Protection Sensor;Monitors safety/access status for Hand Protection Sensor. Connected to interlock circuit and PLC safety input.
SS02;Interlock Lock;Monitors safety/access status for Interlock Lock. Connected to interlock circuit and PLC safety input.
SS03;Light Barrier Safety Sensor;Monitors safety/access status for Light Barrier Safety Sensor. Connected to interlock circuit and PLC safety input.
SS04;Interlock Lock Sensor;Monitors safety/access status for Interlock Lock Sensor. Connected to interlock circuit and PLC safety input.
SS05;1. LID RFID SENSOR;Monitors safety/access status for 1. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS06;2. LID RFID SENSOR;Monitors safety/access status for 2. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS07;3. LID RFID SENSOR;Monitors safety/access status for 3. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS08;4. LID RFID SENSOR;Monitors safety/access status for 4. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS09;5. LID RFID SENSOR;Monitors safety/access status for 5. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS10;6. LID RFID SENSOR;Monitors safety/access status for 6. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
SS11;7. LID RFID SENSOR;Monitors safety/access status for 7. LID RFID SENSOR. Connected to interlock circuit and PLC safety input.
PRS01;Basket Position 1 Sensor;Detects equipment/part position for Basket Position 1 Sensor. Connected to mechanical unit and PLC digital input.
PRS02;Basket Position 2 Sensor;Detects equipment/part position for Basket Position 2 Sensor. Connected to mechanical unit and PLC digital input.
PRS03;1. Conveyor Giriş Proximity Sensor;Detects equipment/part position for 1. Conveyor Giriş Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS04;2. Conveyor Giriş Proximity Sensor;Detects equipment/part position for 2. Conveyor Giriş Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS05;3. Conveyor Giriş Proximity Sensor;Detects equipment/part position for 3. Conveyor Giriş Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS06;1. Conveyor Çıkış Proximity Sensor;Detects equipment/part position for 1. Conveyor Çıkış Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS07;2. Conveyor Çıkış Proximity Sensor;Detects equipment/part position for 2. Conveyor Çıkış Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS08;3. Conveyor Çıkış Proximity Sensor;Detects equipment/part position for 3. Conveyor Çıkış Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS09;xxx Proximity Sensor;Detects equipment/part position for xxx Proximity Sensor. Connected to mechanical unit and PLC digital input.
PRS10;xxx Proximity Sensor;Detects equipment/part position for xxx Proximity Sensor. Connected to mechanical unit and PLC digital input.
SWB01;1. Proses Pump Suction Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Proses Pump Suction Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB02;2. Proses Pump Suction Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Proses Pump Suction Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB03;3. Proses Pump Suction Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Proses Pump Suction Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB04;4. Proses Pump Suction Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 4. Proses Pump Suction Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB05;Conta Şişirme Aktüator Valve Switch Box;Collects open/closed position feedback from field actuator for Conta Şişirme Aktüator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB06;Conta Söndürme Aktüator Valve Switch Box;Collects open/closed position feedback from field actuator for Conta Söndürme Aktüator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB07;1. Drying Hattı Aktüator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Drying Hattı Aktüator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB08;2. Drying Hattı Aktüator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Drying Hattı Aktüator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB09;Cell Drain Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Cell Drain Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB10;Cell Suction Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Cell Suction Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB11;Proses Ana Geri Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Proses Ana Geri Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB12;Hat Temizleme Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Hat Temizleme Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB13;By-Pass Hattı Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for By-Pass Hattı Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB14;Ana Wash Nozul Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Ana Wash Nozul Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB15;Suction Kollektör Temizleme Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Suction Kollektör Temizleme Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB16;1. Proses Geri Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Proses Geri Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB17;2. Proses Geri Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Proses Geri Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB18;3. Proses Geri Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Proses Geri Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB19;4. Proses Geri Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 4. Proses Geri Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB20;1. Process Tank Oto. Dolum Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Process Tank Oto. Dolum Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB21;2. Process Tank Oto. Dolum Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Process Tank Oto. Dolum Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB22;3. Process Tank Oto. Dolum Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Process Tank Oto. Dolum Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB23;4. Process Tank Oto. Dolum Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 4. Process Tank Oto. Dolum Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB24;1. Process Tank Kaskat Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Process Tank Kaskat Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB25;2. Process Tank Kaskat Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Process Tank Kaskat Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB26;3. Process Tank Kaskat Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Process Tank Kaskat Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB27;1. Tank Drain Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Tank Drain Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB28;2. Tank Drain Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Tank Drain Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB29;3. Tank Drain Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Tank Drain Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB30;Arıtma Dönüş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Arıtma Dönüş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB31;1. Eşanjör Gidiş Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Eşanjör Gidiş Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB32;1. Tank İçi Wash Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 1. Tank İçi Wash Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB33;2. Tank İçi Wash Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 2. Tank İçi Wash Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB34;3. Tank İçi Wash Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for 3. Tank İçi Wash Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB35;Şebeke Suyu ile Rinse Actuator Valve Switch Box;Collects open/closed position feedback from field actuator for Şebeke Suyu ile Rinse Actuator Valve Switch Box. Connected to actuator valve, solenoid and PLC digital input.
SWB36;Basket Alma Kontrol Switch Box 1;Collects open/closed position feedback from field actuator for Basket Alma Kontrol Switch Box 1. Connected to actuator valve, solenoid and PLC digital input.
SWB37;Basket Alma Kontrol Switch Box 2;Collects open/closed position feedback from field actuator for Basket Alma Kontrol Switch Box 2. Connected to actuator valve, solenoid and PLC digital input.
SWB38;1. Process Tankndan Pumpya Suction Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 1. Process Tankndan Pumpya Suction Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB39;2. Process Tankndan Pumpya Suction Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 2. Process Tankndan Pumpya Suction Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB40;1. Cellden Pumpya Suction Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 1. Cellden Pumpya Suction Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB41;2. Cellden Pumpya Suction Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 2. Cellden Pumpya Suction Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB42;1. Proses Hattı Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 1. Proses Hattı Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB43;2. Proses Hattı Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for 2. Proses Hattı Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB44;Hat Temizleme Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for Hat Temizleme Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SWB45;Egzos Hattı Actuator Valve Switchbox;Collects open/closed position feedback from field actuator for Egzos Hattı Actuator Valve Switchbox. Connected to actuator valve, solenoid and PLC digital input.
SW01;Cell Lid Açık Konumda Switch;Provides mechanical position feedback for Cell Lid Açık Konumda Switch. Connected to driven equipment and PLC digital input.
SW02;Cell Lid Kapalı Konumda Switch;Provides mechanical position feedback for Cell Lid Kapalı Konumda Switch. Connected to driven equipment and PLC digital input.
SW03;1. Process Tank Kapağı Açık Konumda Switch;Provides mechanical position feedback for 1. Process Tank Kapağı Açık Konumda Switch. Connected to driven equipment and PLC digital input.
SW04;1. Process Tank Kapağı Kapalı Konumda Switch;Provides mechanical position feedback for 1. Process Tank Kapağı Kapalı Konumda Switch. Connected to driven equipment and PLC digital input.
