KOD;KOMPONENTENNAME;BESCHREIBUNG
FE04;1. Gebläsemotor;Regelt den Luftstrom für 1. Gebläsemotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE05;2. Gebläsemotor;Regelt den Luftstrom für 2. Gebläsemotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE06;3. Gebläsemotor;Regelt den Luftstrom für 3. Gebläsemotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE07;4. Gebläsemotor;Regelt den Luftstrom für 4. Gebläsemotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE08;xxx Ventilatormotor;Regelt den Luftstrom für xxx Ventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE09;xxx Ventilatormotor;Regelt den Luftstrom für xxx Ventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE10;xxx Ventilatormotor;Regelt den Luftstrom für xxx Ventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
VE01;1. Vibrations Motor;Erzeugt Vibration für Teiletrennung und Prozesseffizienz (1. Vibrations Motor). Angeschlossen an Vibrationsaggregat, Mechanik und Motorsteuerkreis.
VE02;2. Vibrations Motor;Erzeugt Vibration für Teiletrennung und Prozesseffizienz (2. Vibrations Motor). Angeschlossen an Vibrationsaggregat, Mechanik und Motorsteuerkreis.
VE03;Vibrations xxx Motor;Erzeugt Vibration für Teiletrennung und Prozesseffizienz (Vibrations xxx Motor). Angeschlossen an Vibrationsaggregat, Mechanik und Motorsteuerkreis.
VE04;Vibrations xxx Motor;Erzeugt Vibration für Teiletrennung und Prozesseffizienz (Vibrations xxx Motor). Angeschlossen an Vibrationsaggregat, Mechanik und Motorsteuerkreis.
VE05;Vibrations xxx Motor;Erzeugt Vibration für Teiletrennung und Prozesseffizienz (Vibrations xxx Motor). Angeschlossen an Vibrationsaggregat, Mechanik und Motorsteuerkreis.
GE01;Korb Getriebemotor;Erzeugt mechanische Antriebsbewegung für Korb Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE02;Tambur Getriebemotor;Erzeugt mechanische Antriebsbewegung für Tambur Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE03;Otomatik Yükleme Motor;Erzeugt mechanische Antriebsbewegung für Otomatik Yükleme Motor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE04;Kapı Getriebemotor;Erzeugt mechanische Antriebsbewegung für Kapı Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE05;1. Konveyör Getriebemotor;Erzeugt mechanische Antriebsbewegung für 1. Konveyör Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE06;1. Yağ Sıyırıcı Getriebemotor;Erzeugt mechanische Antriebsbewegung für 1. Yağ Sıyırıcı Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE07;2. Yağ Sıyırıcı Getriebemotor;Erzeugt mechanische Antriebsbewegung für 2. Yağ Sıyırıcı Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE08;1. Yükleme( Konveyör) Getriebemotor;Erzeugt mechanische Antriebsbewegung für 1. Yükleme( Konveyör) Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE09;2. Yükleme (Konveyör) Getriebemotor;Erzeugt mechanische Antriebsbewegung für 2. Yükleme (Konveyör) Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
GE10;xxx Getriebemotor;Erzeugt mechanische Antriebsbewegung für xxx Getriebemotor. Angeschlossen an angetriebenes Aggregat, Positionsrückmeldung und Motorsteuerkreis.
R01;1. Prozesstank 1. Heizwiderstand;Erzeugt Heizung für 1. Prozesstank 1. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R02;1. Prozesstank 2. Heizwiderstand;Erzeugt Heizung für 1. Prozesstank 2. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R03;1. Prozesstank 3. Heizwiderstand;Erzeugt Heizung für 1. Prozesstank 3. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R04;1. Prozesstank 4. Heizwiderstand;Erzeugt Heizung für 1. Prozesstank 4. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R05;1. Prozesstank 5. Heizwiderstand;Erzeugt Heizung für 1. Prozesstank 5. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R06;2. Prozesstank 1. Heizwiderstand;Erzeugt Heizung für 2. Prozesstank 1. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R07;2. Prozesstank 2. Heizwiderstand;Erzeugt Heizung für 2. Prozesstank 2. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R08;2. Prozesstank 3. Heizwiderstand;Erzeugt Heizung für 2. Prozesstank 3. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R09;2. Prozesstank 4. Heizwiderstand;Erzeugt Heizung für 2. Prozesstank 4. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R10;2. Prozesstank 5. Heizwiderstand;Erzeugt Heizung für 2. Prozesstank 5. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R11;3. Prozesstank 1. Heizwiderstand;Erzeugt Heizung für 3. Prozesstank 1. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R12;3. Prozesstank 2. Heizwiderstand;Erzeugt Heizung für 3. Prozesstank 2. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R13;3. Prozesstank 3. Heizwiderstand;Erzeugt Heizung für 3. Prozesstank 3. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R14;3. Prozesstank 4. Heizwiderstand;Erzeugt Heizung für 3. Prozesstank 4. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R15;3. Prozesstank 5. Heizwiderstand;Erzeugt Heizung für 3. Prozesstank 5. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R16;4. Prozesstank 1. Heizwiderstand;Erzeugt Heizung für 4. Prozesstank 1. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R17;4. Prozesstank 2. Heizwiderstand;Erzeugt Heizung für 4. Prozesstank 2. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R18;4. Prozesstank 3. Heizwiderstand;Erzeugt Heizung für 4. Prozesstank 3. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R19;4. Prozesstank 4. Heizwiderstand;Erzeugt Heizung für 4. Prozesstank 4. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R20;4. Prozesstank 5. Heizwiderstand;Erzeugt Heizung für 4. Prozesstank 5. Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R21;1. Trocknung Heizgruppe;Erzeugt Heizung für 1. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R22;2. Trocknung Heizgruppe;Erzeugt Heizung für 2. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R23;3. Trocknung Heizgruppe;Erzeugt Heizung für 3. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R24;4. Trocknung Heizgruppe;Erzeugt Heizung für 4. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R25;5. Trocknung Heizgruppe;Erzeugt Heizung für 5. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R26;6. Trocknung Heizgruppe;Erzeugt Heizung für 6. Trocknung Heizgruppe. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R27;xxx Heizwiderstand;Erzeugt Heizung für xxx Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R28;xxx Heizwiderstand;Erzeugt Heizung für xxx Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R29;xxx Heizwiderstand;Erzeugt Heizung für xxx Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
R30;xxx Heizwiderstand;Erzeugt Heizung für xxx Heizwiderstand. Angeschlossen an Temperatursensor, SSR/Schütz und SPS-Wärmeregelkreis.
TD01;1. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 1. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD02;2. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 2. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD03;3. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 3. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD04;4. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 4. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD05;5. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 5. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD06;6. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 6. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD07;7. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 7. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD08;8. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 8. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD09;9. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 9. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
TD10;10. Prozesstank Ultraschall-Generatorsatz;Versorgt den Ultraschall-Reinigungsgenerator für 10. Prozesstank Ultraschall-Generatorsatz. Angeschlossen an Wandler, Prozesstank und SPS-Prozesssteuerung.
L01;Signalleuchte - Warnleuchte;Dient der Signalisierung oder Beleuchtung für Signalleuchte - Warnleuchte. Angeschlossen an Versorgung und Steuerkreis.
L02;Zelle İçi Aydınlatma Lambası;Dient der Signalisierung oder Beleuchtung für Zelle İçi Aydınlatma Lambası. Angeschlossen an Versorgung und Steuerkreis.
L03;Pano Lambası;Dient der Signalisierung oder Beleuchtung für Pano Lambası. Angeschlossen an Versorgung und Steuerkreis.
L04;xxx Lambası;Dient der Signalisierung oder Beleuchtung für xxx Lambası. Angeschlossen an Versorgung und Steuerkreis.
L05;xxx Lambası;Dient der Signalisierung oder Beleuchtung für xxx Lambası. Angeschlossen an Versorgung und Steuerkreis.
LS01;1. Prozesstank Alt Füllstandsensor;Überwacht den Flüssigkeitsstand für 1. Prozesstank Alt Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS02;1. Prozesstank Orta Füllstandsensor;Überwacht den Flüssigkeitsstand für 1. Prozesstank Orta Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS03;1. Prozesstank Üst Füllstandsensor;Überwacht den Flüssigkeitsstand für 1. Prozesstank Üst Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS04;2. Prozesstank Alt Füllstandsensor;Überwacht den Flüssigkeitsstand für 2. Prozesstank Alt Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS05;2. Prozesstank Orta Füllstandsensor;Überwacht den Flüssigkeitsstand für 2. Prozesstank Orta Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS06;2. Prozesstank Üst Füllstandsensor;Überwacht den Flüssigkeitsstand für 2. Prozesstank Üst Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS07;3. Prozesstank Alt Füllstandsensor;Überwacht den Flüssigkeitsstand für 3. Prozesstank Alt Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS08;3. Prozesstank Orta Füllstandsensor;Überwacht den Flüssigkeitsstand für 3. Prozesstank Orta Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS09;3. Prozesstank Üst Füllstandsensor;Überwacht den Flüssigkeitsstand für 3. Prozesstank Üst Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS10;4. Prozesstank Alt Füllstandsensor;Überwacht den Flüssigkeitsstand für 4. Prozesstank Alt Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS11;4. Prozesstank Orta Füllstandsensor;Überwacht den Flüssigkeitsstand für 4. Prozesstank Orta Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS12;4. Prozesstank Üst Füllstandsensor;Überwacht den Flüssigkeitsstand für 4. Prozesstank Üst Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS13;Zelle İçi 1. Füllstandsensor;Überwacht den Flüssigkeitsstand für Zelle İçi 1. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS14;Zelle İçi 2. Füllstandsensor;Überwacht den Flüssigkeitsstand für Zelle İçi 2. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS15;Zelle İçi 3. Füllstandsensor;Überwacht den Flüssigkeitsstand für Zelle İçi 3. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS16;Zelle İçi 4. Füllstandsensor;Überwacht den Flüssigkeitsstand für Zelle İçi 4. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS17;Ablauf Hattı 1. Füllstandsensor;Überwacht den Flüssigkeitsstand für Ablauf Hattı 1. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS18;Ablauf Hattı 2. Füllstandsensor;Überwacht den Flüssigkeitsstand für Ablauf Hattı 2. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS19;Ablauf Hattı 3. Füllstandsensor;Überwacht den Flüssigkeitsstand für Ablauf Hattı 3. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS20;Ablauf Hattı 4. Füllstandsensor;Überwacht den Flüssigkeitsstand für Ablauf Hattı 4. Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS21;Vakum Pumpe Tank Üst Füllstandsensor;Überwacht den Flüssigkeitsstand für Vakum Pumpe Tank Üst Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS22;Vakum Pumpe Tank Alt Füllstandsensor;Überwacht den Flüssigkeitsstand für Vakum Pumpe Tank Alt Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS23;1. Dosierpumpe Füllstandsensor;Überwacht den Flüssigkeitsstand für 1. Dosierpumpe Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS24;2. Dosierpumpe Füllstandsensor;Überwacht den Flüssigkeitsstand für 2. Dosierpumpe Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS25;3. Dosierpumpe Füllstandsensor;Überwacht den Flüssigkeitsstand für 3. Dosierpumpe Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS26;Sızıntı Tavası Uyarı Füllstandsensor;Überwacht den Flüssigkeitsstand für Sızıntı Tavası Uyarı Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS27;xxx Füllstandsensor;Überwacht den Flüssigkeitsstand für xxx Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS28;xxx Füllstandsensor;Überwacht den Flüssigkeitsstand für xxx Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS29;xxx Füllstandsensor;Überwacht den Flüssigkeitsstand für xxx Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
LS30;xxx Füllstandsensor;Überwacht den Flüssigkeitsstand für xxx Füllstandsensor. Angeschlossen an Tank/Leitung, Füll-/Ablaufventile, Pumpenverriegelung und SPS-Digitaleingang.
SS01;El Koruma Sensor;Überwacht Sicherheits-/Zugangsstatus für El Koruma Sensor. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS02;Interlock Kilit;Überwacht Sicherheits-/Zugangsstatus für Interlock Kilit. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS03;Işın Bariyeri Safety Sensor;Überwacht Sicherheits-/Zugangsstatus für Işın Bariyeri Safety Sensor. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS04;İnterlock Kilit Sensor;Überwacht Sicherheits-/Zugangsstatus für İnterlock Kilit Sensor. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS05;1. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 1. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS06;2. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 2. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS07;3. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 3. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS08;4. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 4. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS09;5. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 5. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS10;6. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 6. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
SS11;7. KAPAK RFID SENSÖRÜ;Überwacht Sicherheits-/Zugangsstatus für 7. KAPAK RFID SENSÖRÜ. Angeschlossen an Verriegelungskreis und SPS-Sicherheitseingang.
PRS01;Korb Pozisyon 1 Sensor;Erkennt Anlagen-/Teileposition für Korb Pozisyon 1 Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS02;Korb Pozisyon 2 Sensor;Erkennt Anlagen-/Teileposition für Korb Pozisyon 2 Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS03;1. Konveyör Giriş Prox Sensor;Erkennt Anlagen-/Teileposition für 1. Konveyör Giriş Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS04;2. Konveyör Giriş Prox Sensor;Erkennt Anlagen-/Teileposition für 2. Konveyör Giriş Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS05;3. Konveyör Giriş Prox Sensor;Erkennt Anlagen-/Teileposition für 3. Konveyör Giriş Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS06;1. Konveyör Çıkış Prox Sensor;Erkennt Anlagen-/Teileposition für 1. Konveyör Çıkış Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS07;2. Konveyör Çıkış Prox Sensor;Erkennt Anlagen-/Teileposition für 2. Konveyör Çıkış Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS08;3. Konveyör Çıkış Prox Sensor;Erkennt Anlagen-/Teileposition für 3. Konveyör Çıkış Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS09;xxx Prox Sensor;Erkennt Anlagen-/Teileposition für xxx Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
PRS10;xxx Prox Sensor;Erkennt Anlagen-/Teileposition für xxx Prox Sensor. Angeschlossen an Mechanik und SPS-Digitaleingang.
SWB01;1. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB02;2. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB03;3. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
